"created_at","msg_timestamp","position_updated_at","mmsi","latitude","longitude","speed","course","heading","status","maneuver","accuracy","rot","collection_type"
"2024-01-24T00:16:12.202+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",235090657,8.9675,-79.504905,4.81387147335423,360,511,15,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:16:12.046+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",319223500,8.913925,-79.5270833333333,4.81387147335423,360,154,15,1,FALSE,128,"dynamic_classA"
"2024-01-24T00:08:49.97+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",538071555,22.127135,113.54977,4.81387147335423,62.1,177,5,1,TRUE,114,"dynamic_classA"
"2024-01-24T00:18:28.298+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",316024809,49.1146,-123.077333333333,4.81387147335423,150.2,511,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:00:56.577+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",366896000,22.987265,-110.098188333333,25.3,147.5,511,6,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:18:05.739+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",319267000,25.2617483333333,55.273855,4.81387147335423,74.9,353,5,1,FALSE,114,"dynamic_classA"
"2024-01-24T00:18:03.493+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",256722000,37.9393266666667,23.6693116666667,0.1,360,511,5,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:09:19.93+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",244790742,51.909885,4.49725666666667,0.1,212.1,511,5,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:06:09.594+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",542437110,1.26356,103.86922,14.2,11.5,511,4,1,TRUE,81,"dynamic_classB"
"2024-01-24T00:05:54.533+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",244690573,51.8319316666667,4.55407,0.2,170.9,511,6,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:14:19.029+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",538071802,40.9696116666667,28.8727716666667,0.1,335.6,511,4,1,TRUE,81,"dynamic_classB"
"2024-01-24T00:19:05.822+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",775990126,10.2017666666667,-64.66437,0.2,360,511,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:20:05.18+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",563002640,1.27142666666667,103.640338333333,0.1,360,511,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:05:56.815+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",271045866,36.7503366666667,28.92846,4.81387147335423,221.694001874414,511,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:17:17.054+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",219032848,57.7152866666667,10.58847,4.81387147335423,210.2,511,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:11:24.796+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",225987503,38.3428383333333,-0.481926666666667,4.81387147335423,360,511,4,1,TRUE,81,"dynamic_classB"
"2024-01-24T00:02:06.676+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",211857350,51.39611,3.57038333333333,0.1,360,511,4,1,TRUE,81,"dynamic_classB"
"2024-01-24T00:00:24.416+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",368140160,29.5459483333333,-95.0199716666667,4.81387147335423,120.2,32,4,1,TRUE,81,"dynamic_classB"
"2024-01-24T00:19:12.586+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",205810900,51.2341216666667,4.415025,4.81387147335423,360,511,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:12:40.677+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",244180219,51.8951433333333,4.218505,4.81387147335423,264.1,511,4,1,TRUE,81,"dynamic_classB"
"2024-01-24T00:01:53.534+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",215998000,37.8027216666667,23.77385,4.81387147335423,284.7,295,6,1,FALSE,254,"dynamic_classA"
"2024-01-24T00:15:51.202+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",563022170,1.30689666666667,103.69714,4.81387147335423,360,511,6,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:25:09.833+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",577553000,-5.36672833333333,12.1593866666667,0.7,345.3,511,6,1,TRUE,128,"satellite"
"2024-01-24T00:13:48.606+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",659257000,-26.413835,13.7846033333333,3.2,132.3,144,7,1,FALSE,114,"dynamic_classA"
"2024-01-24T00:24:59.079+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",657130600,4.26210333333333,5.630475,1.1,64.6,511,6,1,TRUE,128,"satellite"
"2024-01-24T00:15:08.744+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",677039400,25.9398333333333,56.7708266666667,7.5,163.9,511,6,1,FALSE,128,"dynamic_classA"
"2024-01-24T00:19:51.311+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",2573938,78.1494683333333,16.6580016666667,2.79204545454545,215.043181818182,346,4,1,FALSE,81,"satellite"
"2024-01-24T00:10:21.461+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",366853890,21.354485,-157.947341666667,0.3,259,511,5,1,TRUE,128,"satellite"
"2024-01-24T00:11:26.941+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",215031000,30.1589316666667,-18.8266066666667,10.1,119.9,119,6,1,TRUE,114,"satellite"
"2024-01-24T00:35:45.055+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",224032970,34.9469133333333,-33.850985,8,272.6,511,7,1,FALSE,128,"satellite"
"2024-01-24T01:15:19.141+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",5030021,-26.6797,153.13843,2.79204545454545,215.043181818182,346,4,1,TRUE,81,"satellite"
"2024-01-24T00:11:47.893+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",413236430,21.9942816666667,113.554961666667,5.4,58,58,6,1,FALSE,114,"dynamic_classA"
"2024-01-24T00:14:12.63+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",367682130,29.4278016666667,-94.7180933333333,4.81387147335423,294.4,237,12,1,TRUE,114,"dynamic_classA"
"2024-01-24T00:35:10.989+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",3160148,50.15436,-61.79608,2.79204545454545,215.043181818182,346,4,1,TRUE,81,"satellite"
"2024-01-24T00:39:06.196+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",5030106,-21.9523166666667,150.702183333333,2.79204545454545,215.043181818182,346,4,1,TRUE,81,"satellite"
